calibration method,metric,model,comb
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
ensemble temperature scaling,cwECE (MT),0.006010611801329568,0.010593044779580844
ensemble temperature scaling,cwECE (WNT),0.0016007305803019483,0.002691410025926987
ensemble temperature scaling,cwECE (MNT),0.0008342240942184519,0.0012748908871447935
ensemble temperature scaling,NLL,0.03513218931672374,0.4725777164907011
imax binning,ECE (W),0.002286858876546174,0.011716378438805809
imax binning,ECE (M),0.0011757474342982235,0.011719228906946991
imax binning,cwECE (WT),0.009479639846304967,0.015848264739658016
imax binning,cwECE (MT),0.005655355463482681,0.010427519674003771
imax binning,cwECE (WNT),0.0014891695165481908,0.0027618536744265926
imax binning,cwECE (MNT),0.000750874432008712,0.0013594647142839266
imax binning,NLL,0.0338757187128067,0.4734282798196432
none,ECE (W),0.010401969303687362,0.011975355717642154
none,ECE (M),0.009978760610024132,0.009803857667919857
none,cwECE (WT),0.018615485757293732,0.020029735334088174
none,cwECE (MT),0.01288607602429077,0.010558525631304517
none,cwECE (WNT),0.002986012807786899,0.003266273377446026
none,cwECE (MNT),0.0021180637699925895,0.0015208991414778093
none,NLL,0.039786335080862045,0.48113490267080095
confusion,ECE (W),0.0010153098249776615,0.008418137405780872
confusion,ECE (M),0.003586417232236128,0.006901413576804951
confusion,cwECE (WT),0.003620725944058034,0.012876829011005373
confusion,cwECE (MT),0.003620725944058034,0.007995953047778896
confusion,cwECE (WNT),0.0005429006495545491,0.002013646966551377
confusion,cwECE (MNT),0.0008989290856929241,0.001462971332003692
confusion,NLL,0.16189267066168028,0.42064930870869816
temperature scaling,ECE (W),0.002104437102874149,0.01079170015324124
temperature scaling,ECE (M),0.0027068473796049773,0.010809235934595754
temperature scaling,cwECE (WT),0.011247331047262681,0.01483229322851633
temperature scaling,cwECE (MT),0.0059116026388942935,0.010662763817098273
temperature scaling,cwECE (WNT),0.0015917947591481455,0.0026510440074423445
temperature scaling,cwECE (MNT),0.0008112788684085149,0.0012732438133789578
temperature scaling,NLL,0.035506878048181534,0.47223700787626643
ensemble temperature scaling,ECE (W),0.0019391355678414364,0.010724074028566111
ensemble temperature scaling,ECE (M),0.002769483468031461,0.010743714640439944
ensemble temperature scaling,cwECE (WT),0.01127787834831306,0.015295412556129434
